percentile;year;income
pall;1922;23947.1
pall;1923;24790.6
pall;1924;22838.4
pall;1925;25379.1
pall;1926;24877.7
pall;1927;24524.6
pall;1928;26328.4
pall;1929;26110.8
pall;1930;25070.3
pall;1931;24499.1
pall;1932;24250.7
pall;1933;23096.6
pall;1934;25159.1
pall;1935;26131.1
pall;1936;25646.8
pall;1937;26536.6
pall;1938;22823.1
pall;1939;22620.9
pall;1940;25157.2
pall;1941;23588.3
pall;1942;25169.9
pall;1943;26052.0
pall;1944;26089.5
pall;1945;25756.3
pall;1946;26683.6
pall;1947;29985.1
pall;1948;28939.3
pall;1949;29712.8
pall;1950;29812.8
pall;1951;30349.9
pall;1952;31893.1
pall;1953;32290.7
pall;1954;33392.7
pall;1955;35773.8
pall;1956;35954.9
pall;1957;36837.5
pall;1958;35607.7
pall;1959;37486.4
pall;1960;38798.5
pall;1961;40246.6
pall;1962;41854.3
pall;1963;41120.9
pall;1964;43465.6
pall;1965;45325.2
pall;1966;42999.2
pall;1967;42942.4
pall;1968;44949.7
pall;1969;45584.7
pall;1970;47896.0
pall;1971;48541.8
pall;1972;48524.6
pall;1973;46363.3
pall;1974;47233.5
pall;1975;46671.0
pall;1976;49891.1
pall;1977;49598.7
pall;1978;51557.4
pall;1979;53009.9
pall;1980;49144.3
pall;1981;51297.2
pall;1982;52916.4
pall;1983;52771.6
pall;1984;55265.0
pall;1985;55575.0
pall;1986;57112.4
pall;1987;58256.2
pall;1988;58765.4
pall;1989;62810.4
pall;1990;64717.5
pall;1991;66676.3
pall;1992;65399.5
pall;1993;67182.1
pall;1994;68893.3
pall;1995;71763.6
pall;1996;75036.0
pall;1997;79090.9
pall;1998;79938.5
pall;1999;82797.6
pall;2000;87821.5
pall;2001;88683.0
pall;2002;90831.9
pall;2003;91991.9
pall;2004;96989.3
pall;2005;101911.1
pall;2006;108321.6
pall;2007;115101.6
pall;2008;124019.4
pall;2009;124646.3
pall;2010;132235.0
pall;2011;142061.8
pall;2012;147772.0
pall;2013;150624.2
pall;2014;156676.4
pall;2015;166815.0
pall;2016;179398.0
pall;2017;189128.3
pall;2018;197354.9
pall;2019;202864.4
pall;2020;189362.3
pall;2021;211344.9
